Details_ID,Involvement,Level,Total_applicants
id0204,Full-time,Associate,1 applicant
id0205,Full-time,Associate,1 applicant
id0206,Part-time,Entry level,46 applicants
id0207,Full-time,Internship,7 applicants
id0208,Full-time,Entry level,4 applicants
id0209,Full-time,Mid-Senior level,16 applicants
id0210,Full-time,Mid-Senior level,1 applicant
id0211,Full-time,Associate,23 applicants
id0212,Full-time,Entry level,6 applicants
id0213,Full-time,Entry level,8 applicants
id0214,Full-time,Entry level,13 applicants
id0215,Full-time,Entry level,7 applicants
id0216,Full-time,Entry level,8 applicants
id0217,Full-time,Entry level,1 applicant
id0218,Full-time,Entry level,1 applicant
id0219,Full-time,Entry level,4 applicants
id0220,Full-time,Entry level,15 applicants
id0221,Full-time,Entry level,27 applicants
id0222,Internship,Entry level,13 applicants
id0223,Full-time,Executive,27 applicants
id0224,Full-time,Executive,11 applicants
id0225,Full-time,Executive,20 applicants
id0226,Full-time,Executive,22 applicants
id0227,Full-time,Executive,30 applicants
id0228,Full-time,Executive,1 applicant
id0229,Full-time,Executive,19 applicants
id0230,Full-time,Mid-Senior level,1 applicant
id0231,Full-time,Entry level,23 applicants
id0232,Full-time,Entry level,31 applicants
id0233,Full-time,Associate,118 applicants
id0234,Full-time,Entry level,4 applicants
id0235,Full-time,Mid-Senior level,120 applicants
id0236,Full-time,Entry level,87 applicants
id0237,Full-time,Mid-Senior level,1 applicant
id0238,Full-time,Mid-Senior level,20 applicants
id0239,Full-time,Mid-Senior level,1 applicant
id0240,Full-time,Mid-Senior level,4 applicants
id0241,Full-time,Mid-Senior level,1 applicant
id0242,Full-time,Mid-Senior level,1 applicant
id0243,Full-time,Entry level,22 applicants
id0244,Full-time,Entry level,16 applicants
id0245,Full-time,Mid-Senior level,5 applicants
id0246,Full-time,Entry level,28 applicants
id0247,Full-time,Entry level,13 applicants
id0248,Full-time,Entry level,23 applicants
id0249,Full-time,Internship,1 applicant
id0250,Full-time,Internship,1 applicant
id0251,Full-time,Entry level,1 applicant
id0252,Full-time,Entry level,1 applicant
id0253,Full-time,Associate,51 applicants
id0254,Full-time,Mid-Senior level,58 applicants
id0255,Full-time,Entry level,56 applicants
id0256,Full-time,Entry level,1 applicant
id0257,Full-time,Entry level,17 applicants
id0258,Full-time,Entry level,71 applicants
id0259,Full-time,Entry level,16 applicants
id0260,Full-time,Entry level,45 applicants
id0261,Full-time,Entry level,28 applicants
id0262,Full-time,Entry level,17 applicants
id0263,Full-time,Mid-Senior level,14 applicants
id0264,Full-time,Entry level,40 applicants
id0265,Full-time,Mid-Senior level,1 applicant
id0266,Contract,Entry level,47 applicants
id0267,Full-time,Mid-Senior level,1 applicant
id0268,Full-time,Mid-Senior level,6 applicants
id0269,Full-time,Entry level,50 applicants
id0270,Full-time,Entry level,5 applicants
id0271,Full-time,Entry level,1 applicant
id0272,Full-time,Mid-Senior level,130 applicants
id0273,Full-time,Entry level,16 applicants
id0274,Full-time,Entry level,3 applicants
id0275,Contract,Entry level,4 applicants
id0276,Full-time,Entry level,54 applicants
id0277,Full-time,Entry level,17 applicants
id0278,Full-time,Entry level,63 applicants
id0279,Full-time,Executive,17 applicants
id0280,Full-time,Mid-Senior level,9 applicants
id0281,Full-time,Mid-Senior level,10 applicants
id0282,Full-time,Mid-Senior level,4 applicants
id0283,Full-time,Mid-Senior level,20 applicants
id0284,Full-time,Entry level,13 applicants
id0285,Full-time,Entry level,44 applicants
id0286,Full-time,Entry level,42 applicants
id0287,Full-time,Entry level,30 applicants
id0288,Full-time,Mid-Senior level,3 applicants
id0289,Full-time,Entry level,59 applicants
id0290,Full-time,Entry level,36 applicants
id0291,Full-time,Entry level,1 applicant
id0292,Full-time,Entry level,1 applicant
id0293,Full-time,Mid-Senior level,21 applicants
id0294,Full-time,Entry level,1 applicant
id0295,Full-time,Mid-Senior level,1 applicant
id0296,Full-time,Entry level,20 applicants
id0297,Full-time,Director,72 applicants
id0298,Part-time,Entry level,70 applicants
id0299,Full-time,Entry level,27 applicants
id0300,Full-time,Entry level,13 applicants
id0301,Full-time,Entry level,33 applicants
id0302,Full-time,Entry level,44 applicants
id0303,Full-time,Internship,24 applicants
id0304,Full-time,Entry level,5 applicants
id0305,Full-time,Entry level,12 applicants
id0306,Internship,Entry level,47 applicants
id0307,Part-time,Entry level,33 applicants
id0308,Full-time,Entry level,14 applicants
id0309,Contract,Associate,19 applicants
id0310,Contract,Associate,1 applicant
id0311,Full-time,Entry level,31 applicants
id0312,Full-time,Entry level,27 applicants
id0313,Full-time,Entry level,26 applicants
id0314,Full-time,Entry level,8 applicants
id0315,Full-time,Entry level,1 applicant
id0316,Full-time,Executive,1 applicant
id0317,Full-time,Mid-Senior level,12 applicants
id0318,Full-time,Mid-Senior level,18 applicants
id0319,Full-time,Mid-Senior level,35 applicants
id0320,Full-time,Mid-Senior level,2 applicants
id0321,Full-time,Mid-Senior level,5 applicants
id0322,Full-time,Mid-Senior level,1 applicant
id0323,Full-time,Mid-Senior level,1 applicant
id0324,Full-time,Entry level,30 applicants
id0325,Full-time,Mid-Senior level,2 applicants
id0326,Full-time,Entry level,57 applicants
id0327,Full-time,Entry level,26 applicants
id0328,Full-time,Entry level,1 applicant
id0329,Full-time,Entry level,8 applicants
id0330,Full-time,Entry level,11 applicants
